REGION,STATE,CITY,POPULATION
Northeast,New York,"New York, NY",8622698
Pacific,California,"Los Angeles, CA",3999759
Midwest,Illinois,"Chicago, IL",2716450
South,Texas,"Houston, TX",2312717
Mountain,Arizona,"Phoenix, AZ",1626078
Northeast,Pennsylvania,"Philadelphia, PA",1580863
South,Texas,"San Antonio, TX",1511946
Pacific,California,"San Diego, CA",1419516
South,Texas,"Dallas, TX",1341075
Pacific,California,"San Jose, CA",1035317
South,Texas,"Austin, TX",950715
South,Florida,"Jacksonville, FL",892062
Pacific,California,"San Francisco, CA",884363
Midwest,Ohio,"Columbus, OH",879170
South,Texas,"Fort Worth, TX",874168
South,North Carolina,"Charlotte, NC",859035
Pacific,Washington,"Seattle, WA",724745
Mountain,Colorado,"Denver, CO",704621
Northeast,Massachusetts,"Boston, MA",685094
South,Texas,"El Paso, TX",683577
Midwest,Michigan,"Detroit, MI",673104
South,Tennessee,"Memphis, TN",652236
Pacific,Oregon,"Portland, OR",647805
South,Oklahoma,"Oklahoma City, OK",643648
Mountain,Nevada,"Las Vegas, NV",641676
South,Maryland,"Baltimore, MD",611648
Midwest,Wisconsin,"Milwaukee, WI",595351
Mountain,New Mexico,"Albuquerque, NM",558545
Mountain,Arizona,"Tucson, AZ",535677
Pacific,California,"Fresno, CA",527438
Pacific,California,"Sacramento, CA",501901
Mountain,Arizona,"Mesa, AZ",496401
Midwest,Missouri,"Kansas City, MO",488943
South,Georgia,"Atlanta, GA",486290
Pacific,California,"Long Beach, CA",469450
Midwest,Nebraska,"Omaha, NE",466893
South,North Carolina,"Raleigh, NC",464758
Mountain,Colorado,"Colorado Springs, CO",464474
South,Florida,"Miami, FL",463347
South,Virginia,"Virginia Beach, VA",450435
Pacific,California,"Oakland, CA",425195
Midwest,Minnesota,"Minneapolis, MN",422331
South,Oklahoma,"Tulsa, OK",401800
South,Texas,"Arlington, TX",396394
South,Louisiana,"New Orleans, LA",393292
Midwest,Kansas,"Wichita, KS",390591
Midwest,Ohio,"Cleveland, OH",385525
South,Florida,"Tampa, FL",385430
Pacific,California,"Bakersfield, CA",380874
Mountain,Colorado,"Aurora, CO",366623
Pacific,California,"Anaheim, CA",352497
Pacific,California,"Santa Ana, CA",334136
Pacific,California,"Riverside, CA",327728
South,Texas,"Corpus Christi, TX",325605
Pacific,California,"Stockton, CA",310496
Midwest,Missouri,"St. Louis, MO",308626
Midwest,Minnesota,"St. Paul, MN",306621
Mountain,Nevada,"Henderson, NV",302539
Northeast,Pennsylvania,"Pittsburgh, PA",302407
Midwest,Ohio,"Cincinnati, OH",301301
South,North Carolina,"Greensboro, NC",290222
South,Texas,"Plano, TX",286143
Northeast,New Jersey,"Newark, NJ",285154
Midwest,Nebraska,"Lincoln, NE",284736
South,Florida,"Orlando, FL",280257
Pacific,California,"Irvine, CA",277453
Midwest,Ohio,"Toledo, OH",276491
Northeast,New Jersey,"Jersey City, NJ",270753
Pacific,California,"Chula Vista, CA",270471
South,North Carolina,"Durham, NC",267743
Midwest,Indiana,"Fort Wayne, IN",265904
South,Florida,"St. Petersburg, FL",263255
South,Texas,"Laredo, TX",260654
Northeast,New York,"Buffalo, NY",258612
Midwest,Wisconsin,"Madison, WI",255214
South,Texas,"Lubbock, TX",253888
Mountain,Arizona,"Chandler, AZ",253458
Mountain,Arizona,"Scottsdale, AZ",249950
Mountain,Nevada,"Reno, NV",248853
Mountain,Arizona,"Glendale, AZ",246709
South,Virginia,"Norfolk, VA",244703
South,North Carolina,"Winston-Salem, NC",244605
Mountain,Nevada,"North Las Vegas, NV",242975
South,Virginia,"Chesapeake, VA",240397
South,Texas,"Irving, TX",240373
South,Florida,"Hialeah, FL",239673
South,Texas,"Garland, TX",238002
Pacific,California,"Fremont, CA",234962
South,Virginia,"Richmond, VA",227032
Mountain,Idaho,"Boise City, ID",226570
Midwest,Iowa,"Des Moines, IA",217521
Pacific,Washington,"Spokane, WA",217108
Pacific,California,"San Bernardino, CA",216995
Pacific,California,"Modesto, CA",214221
Pacific,Washington,"Tacoma, WA",213418
Pacific,California,"Fontana, CA",211815
Pacific,California,"Santa Clarita, CA",210888
South,Alabama,"Birmingham, AL",210710
Pacific,California,"Oxnard, CA",210037
South,North Carolina,"Fayetteville, NC",209889
Northeast,New York,"Rochester, NY",208046
Pacific,California,"Moreno Valley, CA",207226
Pacific,California,"Glendale, CA",203054
Northeast,New York,"Yonkers, NY",202019
Pacific,California,"Huntington Beach, CA",201874
Midwest,Illinois,"Aurora, IL",200965
Mountain,Utah,"Salt Lake City, UT",200544
South,Texas,"Amarillo, TX",199826
South,Alabama,"Montgomery, AL",199518
Midwest,Michigan,"Grand Rapids, MI",198829
South,Arkansas,"Little Rock, AR",198606
Midwest,Ohio,"Akron, OH",197846
South,Alabama,"Huntsville, AL",194585
South,Georgia,"Columbus, GA",194058
South,Texas,"Grand Prairie, TX",193837
South,Louisiana,"Shreveport, LA",192036
Midwest,Kansas,"Overland Park, KS",191278
South,Florida,"Tallahassee, FL",191049
South,Alabama,"Mobile, AL",190265
South,Florida,"Port St. Lucie, FL",189344
South,Tennessee,"Knoxville, TN",187347
Northeast,Massachusetts,"Worcester, MA",185677
Mountain,Arizona,"Tempe, AZ",185038
South,Florida,"Cape Coral, FL",183365
South,Texas,"Brownsville, TX",183299
South,Texas,"McKinney, TX",181330
Northeast,Rhode Island,"Providence, RI",180393
South,Florida,"Fort Lauderdale, FL",180072
South,Virginia,"Newport News, VA",179388
South,Tennessee,"Chattanooga, TN",179139
Pacific,California,"Rancho Cucamonga, CA",177452
South,Texas,"Frisco, TX",177286
Midwest,South Dakota,"Sioux Falls, SD",176888
Pacific,California,"Oceanside, CA",176193
Pacific,California,"Ontario, CA",175841
Pacific,Washington,"Vancouver, WA",175673
Pacific,California,"Santa Rosa, CA",175269
Pacific,California,"Garden Grove, CA",174226
Pacific,California,"Elk Grove, CA",171844
South,Florida,"Pembroke Pines, FL",170712
Pacific,Oregon,"Salem, OR",169798
Pacific,Oregon,"Eugene, OR",168916
Mountain,Arizona,"Peoria, AZ",168181
Pacific,California,"Corona, CA",167836
Midwest,Missouri,"Springfield, MO",167376
South,Mississippi,"Jackson, MS",166965
Mountain,Colorado,"Fort Collins, CO",165080
Pacific,California,"Hayward, CA",160500
Pacific,California,"Lancaster, CA",160316
South,Virginia,"Alexandria, VA",160035
Pacific,California,"Salinas, CA",157596
Pacific,California,"Palmdale, CA",157519
Mountain,Colorado,"Lakewood, CO",154958
Northeast,Massachusetts,"Springfield, MA",154758
Pacific,California,"Sunnyvale, CA",153656
South,Florida,"Hollywood, FL",153627
South,Texas,"Pasadena, TX",153520
South,Tennessee,"Clarksville, TN",153205
Pacific,California,"Pomona, CA",152939
Midwest,Kansas,"Kansas City, KS",152938
Pacific,California,"Escondido, CA",151969
Northeast,New Jersey,"Paterson, NJ",148678
Midwest,Illinois,"Joliet, IL",148462
Midwest,Illinois,"Naperville, IL",147682
Midwest,Illinois,"Rockford, IL",147051
Pacific,California,"Torrance, CA",146758
Northeast,Connecticut,"Bridgeport, CT",146579
South,Georgia,"Savannah, GA",146444
South,Texas,"Killeen, TX",145482
Pacific,Washington,"Bellevue, WA",144444
South,Texas,"Mesquite, TX",143949
Northeast,New York,"Syracuse, NY",143396
South,Texas,"McAllen, TX",142696
Pacific,California,"Pasadena, CA",142647
Pacific,California,"Orange, CA",140560
Pacific,California,"Fullerton, CA",140392
Midwest,Ohio,"Dayton, OH",140371
South,Florida,"Miramar, FL",140328
Midwest,Kansas,"Olathe, KS",137472
Mountain,Colorado,"Thornton, CO",136978
South,Texas,"Waco, TX",136436
South,Tennessee,"Murfreesboro, TN",136372
South,Texas,"Denton, TX",136268
Mountain,Utah,"West Valley City, UT",136170
South,Texas,"Midland, TX",136089
South,Texas,"Carrollton, TX",135710
Pacific,California,"Roseville, CA",135329
Midwest,Michigan,"Warren, MI",135022
South,South Carolina,"Charleston, SC",134875
South,Virginia,"Hampton, VA",134669
Mountain,Arizona,"Surprise, AZ",134085
South,South Carolina,"Columbia, SC",133114
South,Florida,"Coral Springs, FL",133037
Pacific,California,"Visalia, CA",133010
Midwest,Michigan,"Sterling Heights, MI",132631
South,Florida,"Gainesville, FL",132249
Midwest,Iowa,"Cedar Rapids, IA",132228
Northeast,Connecticut,"New Haven, CT",131014
Northeast,Connecticut,"Stamford, CT",130824
Northeast,New Jersey,"Elizabeth, NJ",130215
Pacific,California,"Concord, CA",129783
Pacific,California,"Thousand Oaks, CA",128995
Pacific,Washington,"Kent, WA",128458
Pacific,California,"Santa Clara, CA",127134
Pacific,California,"Simi Valley, CA",126878
Midwest,Kansas,"Topeka, KS",126587
South,Texas,"Round Rock, TX",123678
Northeast,Connecticut,"Hartford, CT",123400
South,Oklahoma,"Norman, OK",122843
Pacific,California,"Victorville, CA",122441
Midwest,North Dakota,"Fargo, ND",122359
Pacific,California,"Berkeley, CA",122324
Pacific,California,"Vallejo, CA",122105
South,Texas,"Abilene, TX",121885
Midwest,Missouri,"Columbia, MO",121717
Midwest,Michigan,"Ann Arbor, MI",121477
Northeast,Pennsylvania,"Allentown, PA",121283
South,Texas,"Pearland, TX",119940
South,Texas,"Beaumont, TX",119114
South,North Carolina,"Wilmington, NC",119045
Midwest,Indiana,"Evansville, IN",118930
Mountain,Colorado,"Arvada, CO",118807
Mountain,Utah,"Provo, UT",117335
Midwest,Missouri,"Independence, MO",117306
Midwest,Michigan,"Lansing, MI",116986
South,Texas,"Odessa, TX",116861
South,Texas,"Richardson, TX",116783
Pacific,California,"Fairfield, CA",116266
Pacific,California,"El Monte, CA",116109
Midwest,Minnesota,"Rochester, MN",115733
South,Florida,"Clearwater, FL",115513
Pacific,California,"Carlsbad, CA",115330
Midwest,Illinois,"Springfield, IL",114868
Pacific,California,"Temecula, CA",114327
Mountain,Utah,"West Jordan, UT",113905
Pacific,California,"Costa Mesa, CA",113825
South,Florida,"Miami Gardens, FL",113750
Northeast,Massachusetts,"Cambridge, MA",113630
South,Texas,"College Station, TX",113564
Pacific,California,"Murrieta, CA",113326
Pacific,California,"Downey, CA",113092
Midwest,Illinois,"Peoria, IL",112883
Mountain,Colorado,"Westminster, CO",112812
Midwest,Illinois,"Elgin, IL",112456
Pacific,California,"Antioch, CA",111674
South,Florida,"Palm Bay, FL",111657
South,North Carolina,"High Point, NC",111513
Northeast,Massachusetts,"Lowell, MA",111346
Northeast,New Hampshire,"Manchester, NH",111196
Mountain,Colorado,"Pueblo, CO",111127
Pacific,Oregon,"Gresham, OR",111053
South,South Carolina,"North Charleston, SC",110861
Pacific,California,"San Buenaventura (Ventura), CA",110790
Pacific,California,"Inglewood, CA",110598
South,Florida,"Pompano Beach, FL",110473
Mountain,Colorado,"Centennial, CO",110250
South,Florida,"West Palm Beach, FL",110222
Pacific,Washington,"Everett, WA",110079
Pacific,California,"Richmond, CA",110040
Pacific,California,"Clovis, CA",109691
Mountain,Montana,"Billings, MT",109642
Northeast,Connecticut,"Waterbury, CT",108629
South,Oklahoma,"Broken Arrow, OK",108303
South,Florida,"Lakeland, FL",108054
Pacific,California,"West Covina, CA",107598
Mountain,Colorado,"Boulder, CO",107125
Pacific,California,"Daly City, CA",107074
Pacific,California,"Santa Maria, CA",107014
Pacific,Oregon,"Hillsboro, OR",106894
South,Georgia,"Sandy Springs, GA",106739
Pacific,California,"Norwalk, CA",106084
Pacific,California,"Jurupa Valley, CA",106028
South,Texas,"Lewisville, TX",106021
Mountain,Colorado,"Greeley, CO",105448
Midwest,Wisconsin,"Green Bay, WI",105116
South,Texas,"Tyler, TX",104991
South,Texas,"League City, TX",104903
Pacific,California,"Burbank, CA",104834
Pacific,California,"San Mateo, CA",104748
South,Texas,"Wichita Falls, TX",104747
Pacific,California,"El Cajon, CA",103894
Pacific,California,"Rialto, CA",103562
Midwest,Iowa,"Davenport, IA",102320
Midwest,Indiana,"South Bend, IN",102245
Mountain,New Mexico,"Las Cruces, NM",101712
Pacific,California,"Vista, CA",101568
Pacific,Washington,"Renton, WA",101379
Mountain,Nevada,"Sparks, NV",100888
South,Texas,"Allen, TX",100685
South,Alabama,"Tuscaloosa, AL",100287
South,Texas,"San Angelo, TX",100119
Pacific,California,"Vacaville, CA",100032
Mountain,Idaho,"Meridian, ID",99926
Midwest,Wisconsin,"Kenosha, WI",99877
South,Virginia,"Roanoke, VA",99837
Northeast,New York,"Albany, NY",98251
South,Florida,"Boca Raton, FL",98150
Pacific,Washington,"Spokane Valley, WA",97847
Mountain,Utah,"Orem, UT",97839
Pacific,California,"Compton, CA",97612
Pacific,Oregon,"Beaverton, OR",97514
Northeast,Pennsylvania,"Erie, PA",97369
Midwest,Missouri,"Lee's Summit, MO",97290
Midwest,Kansas,"Lawrence, KS",96892
Pacific,Washington,"Federal Way, WA",96690
Midwest,Michigan,"Flint, MI",96448
Pacific,California,"San Marcos, CA",96198
Mountain,New Mexico,"Rio Rancho, NM",96159
Mountain,Utah,"Sandy, UT",96145
Pacific,California,"Mission Viejo, CA",96016
Northeast,Massachusetts,"Brockton, MA",95672
Mountain,Arizona,"Yuma, AZ",95502
Pacific,California,"South Gate, CA",95430
Northeast,Massachusetts,"New Bedford, MA",95120
Pacific,California,"Hesperia, CA",94859
South,Georgia,"Roswell, GA",94786
South,Virginia,"Portsmouth, VA",94572
Pacific,Oregon,"Bend, OR",94520
Midwest,Michigan,"Dearborn, MI",94491
Mountain,Colorado,"Longmont, CO",94341
South,Florida,"Sunrise, FL",94323
Northeast,Massachusetts,"Quincy, MA",94166
Midwest,Michigan,"Livonia, MI",94105
Northeast,Massachusetts,"Lynn, MA",94063
South,Florida,"Plantation, FL",93909
South,Oklahoma,"Lawton, OK",93714
Pacific,Washington,"Yakima, WA",93667
Mountain,Idaho,"Nampa, ID",93590
Pacific,California,"Chico, CA",93293
Pacific,California,"Carson, CA",92735
South,Florida,"Miami Beach, FL",92307
Pacific,California,"Santa Monica, CA",92306
Midwest,Indiana,"Carmel, IN",92198
South,North Carolina,"Greenville, NC",92156
Pacific,California,"Santa Barbara, CA",92101
South,North Carolina,"Concord, NC",92067
South,Oklahoma,"Edmond, OK",91950
South,North Carolina,"Asheville, NC",91902
Midwest,Indiana,"Fishers, IN",91832
Pacific,California,"Redding, CA",91794
Pacific,California,"Westminster, CA",91564
Pacific,California,"Tracy, CA",90889
South,Florida,"Deltona, FL",90746
Pacific,California,"Menifee, CA",90595
Pacific,California,"San Leandro, CA",90553
Pacific,California,"Livermore, CA",90295
South,Texas,"Edinburg, TX",90280
South,Virginia,"Suffolk, VA",90237
Pacific,California,"Chino, CA",89797
Pacific,California,"Indio, CA",89793
Northeast,Massachusetts,"Fall River, MA",89420
Pacific,Washington,"Bellingham, WA",89045
Northeast,Connecticut,"Norwalk, CT",89005
Northeast,Massachusetts,"Newton, MA",88994
Pacific,Washington,"Kirkland, WA",88630
South,Texas,"Sugar Land, TX",88485
Northeast,Pennsylvania,"Reading, PA",88423
Northeast,New Hampshire,"Nashua, NH",88341
South,Arkansas,"Fort Smith, AR",88037
Pacific,California,"Citrus Heights, CA",87931
Pacific,California,"Hawthorne, CA",87854
Midwest,Illinois,"Waukegan, IL",87729
Midwest,Missouri,"O'Fallon, MO",87597
Midwest,Illinois,"Champaign, IL",87432
Mountain,Utah,"Ogden, UT",87031
Pacific,California,"Whittier, CA",86838
Pacific,California,"Redwood City, CA",86685
Northeast,New Jersey,"Clifton, NJ",86607
South,Florida,"Palm Coast, FL",86516
Pacific,California,"Newport Beach, CA",86160
Midwest,Minnesota,"Duluth, MN",86066
Midwest,Minnesota,"Bloomington, MN",85866
Pacific,California,"Alhambra, CA",85396
South,Arkansas,"Fayetteville, AR",85257
Northeast,Connecticut,"Danbury, CT",85246
Pacific,California,"Hemet, CA",85160
Midwest,Indiana,"Bloomington, IN",85071
Northeast,New Jersey,"Trenton, NJ",84964
South,Alabama,"Hoover, AL",84920
South,Florida,"Largo, FL",84754
South,Texas,"Mission, TX",84424
Mountain,Utah,"St. George, UT",84405
South,Texas,"Conroe, TX",84378
South,Georgia,"Johns Creek, GA",84350
Pacific,California,"Lake Forest, CA",84293
Mountain,Arizona,"Avondale, AZ",84025
South,Texas,"Bryan, TX",84021
Midwest,Michigan,"Troy, MI",83813
Mountain,New Mexico,"Santa Fe, NM",83776
Pacific,California,"Merced, CA",83081
Pacific,California,"Buena Park, CA",83015
Pacific,California,"Pleasanton, CA",83007
Midwest,Iowa,"Sioux City, IA",82514
South,Florida,"Melbourne, FL",82011
Pacific,Oregon,"Medford, OR",81780
Midwest,Michigan,"Westland, MI",81747
Pacific,Washington,"Kennewick, WA",81607
South,Texas,"Longview, TX",81522
Pacific,California,"Mountain View, CA",81438
Northeast,Massachusetts,"Somerville, MA",81360
Northeast,Rhode Island,"Cranston, RI",81202
Midwest,Michigan,"Farmington Hills, MI",81050
South,Virginia,"Lynchburg, VA",80995
Pacific,California,"Lakewood, CA",80967
Northeast,Rhode Island,"Warwick, RI",80871
Pacific,Washington,"Auburn, WA",80776
Midwest,Minnesota,"Brooklyn Park, MN",80581
South,Florida,"Deerfield Beach, FL",80571
Pacific,California,"Tustin, CA",80498
Pacific,California,"Chino Hills, CA",80374
Northeast,Massachusetts,"Lawrence, MA",80162
Northeast,New York,"New Rochelle, NY",79946
South,Florida,"Fort Myers, FL",79943
Mountain,Arizona,"Goodyear, AZ",79858
Pacific,California,"Napa, CA",79774
South,Arkansas,"Springdale, AR",79599
South,Texas,"Pharr, TX",79487
Pacific,California,"Manteca, CA",79268
Pacific,California,"Alameda, CA",79177
Midwest,Ohio,"Parma, OH",79167
South,Texas,"New Braunfels, TX",79152
Midwest,Minnesota,"Plymouth, MN",78395
South,Tennessee,"Franklin, TN",78321
Pacific,California,"Milpitas, CA",78106
Pacific,California,"Folsom, CA",78038
Midwest,Illinois,"Bloomington, IL",77934
Pacific,California,"Perris, CA",77879
Pacific,California,"Bellflower, CA",77772
South,Florida,"Boynton Beach, FL",77702
Northeast,Pennsylvania,"Scranton, PA",77605
Midwest,Wisconsin,"Racine, WI",77542
South,Louisiana,"Lake Charles, LA",77117
Pacific,California,"Upland, CA",76999
South,Texas,"Baytown, TX",76804
Mountain,Colorado,"Loveland, CO",76701
Mountain,Utah,"Layton, UT",76691
Midwest,Indiana,"Hammond, IN",76618
South,North Carolina,"Gastonia, NC",76593
Midwest,Missouri,"St. Joseph, MO",76442
Pacific,California,"Baldwin Park, CA",76402
Midwest,Indiana,"Gary, IN",76008
Midwest,Michigan,"Wyoming, MI",75938
Pacific,California,"San Ramon, CA",75931
South,Arkansas,"Jonesboro, AR",75866
Midwest,Michigan,"Kalamazoo, MI",75807
Midwest,Iowa,"Iowa City, IA",75798
Northeast,Pennsylvania,"Bethlehem, PA",75707
South,Texas,"Cedar Park, TX",75704
Pacific,California,"Union City, CA",75343
South,Georgia,"Warner Robins, GA",74854
Midwest,Illinois,"Evanston, IL",74756
Midwest,Wisconsin,"Appleton, WI",74653
Northeast,New Jersey,"Camden, NJ",74532
South,Texas,"Temple, TX",74503
South,Texas,"Missouri City, TX",74497
Midwest,South Dakota,"Rapid City, SD",74421
Midwest,Michigan,"Rochester Hills, MI",74205
Pacific,California,"Rancho Cordova, CA",73563
Pacific,California,"Turlock, CA",73556
Mountain,Montana,"Missoula, MT",73340
Midwest,Michigan,"Southfield, MI",73208
South,Georgia,"Albany, GA",73179
South,South Carolina,"Rock Hill, SC",73068
Pacific,Washington,"Pasco, WA",73013
Midwest,North Dakota,"Bismarck, ND",72865
Northeast,Connecticut,"New Britain, CT",72710
Midwest,Wisconsin,"Waukesha, WI",72489
South,North Carolina,"Jacksonville, NC",72447
Midwest,Indiana,"Lafayette, IN",72390
Midwest,Illinois,"Decatur, IL",72174
Pacific,California,"Pittsburg, CA",72141
Northeast,Rhode Island,"Pawtucket, RI",72001
Mountain,Arizona,"Flagstaff, AZ",71975
South,Florida,"Lauderhill, FL",71970
South,Mississippi,"Gulfport, MS",71822
Pacific,California,"Redlands, CA",71554
South,Maryland,"Frederick, MD",71408
Northeast,New Jersey,"Passaic, NJ",71247
South,Delaware,"Wilmington, DE",71106
South,Florida,"Kissimmee, FL",71104
Pacific,California,"Lynwood, CA",71099
Midwest,Minnesota,"Maple Grove, MN",71066
Mountain,Utah,"South Jordan, UT",70954
South,Florida,"Weston, FL",70944
Midwest,Ohio,"Canton, OH",70909
South,Texas,"Georgetown, TX",70685
South,Texas,"North Richland Hills, TX",70441
Northeast,New Jersey,"Union City, NJ",70387
Midwest,Missouri,"St. Charles, MO",70329
South,Florida,"Homestead, FL",69907
Pacific,California,"Walnut Creek, CA",69773
Midwest,Minnesota,"Woodbury, MN",69756
Pacific,California,"Davis, CA",68986
South,Texas,"Mansfield, TX",68928
Pacific,Washington,"Marysville, WA",68864
South,Florida,"Delray Beach, FL",68749
South,Maryland,"Gaithersburg, MD",68710
